ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,21,23,24,25,26,27,28,29,30,14,20,22,31,32,33,34
0,0,33,13,13,11,9,59,25,55,79,23,21,17,18,97,58,48,33,133,59,21,36,31,21,39,91,118,31,13,18,13,11,97,59,33
1,33,0,32,43,22,38,51,58,73,104,52,15,16,42,82,72,50,31,123,41,40,52,59,15,42,91,114,63,43,42,43,22,82,51,0
2,13,32,0,24,13,9,47,29,68,91,34,17,20,10,86,70,59,42,121,49,33,48,42,26,50,79,105,33,24,10,24,13,86,47,32
3,13,43,24,0,23,16,71,19,45,67,10,33,28,25,110,49,45,34,145,72,15,27,19,29,37,101,128,26,0,25,0,23,110,71,43
4,11,22,13,23,0,16,53,36,61,88,32,10,8,22,90,63,48,30,127,51,26,40,41,13,39,88,114,41,23,22,23,0,90,53,22
5,9,38,9,16,16,0,56,21,61,82,26,24,24,9,95,64,56,42,129,58,28,42,34,29,48,85,112,25,16,9,16,16,95,56,38
6,59,51,47,71,53,56,0,73,114,138,81,45,55,50,39,115,98,79,75,17,78,93,90,60,89,41,63,73,71,50,71,53,39,0,51
7,25,58,29,19,36,21,73,0,57,69,21,45,43,23,111,62,63,54,143,78,34,43,25,46,56,96,123,6,19,23,19,36,111,73,58
8,55,73,68,45,61,61,114,57,0,36,37,70,61,70,151,7,32,45,188,111,36,21,31,58,35,146,173,62,45,70,45,61,151,114,73
9,79,104,91,67,88,82,138,69,36,0,57,98,90,89,177,41,68,79,210,138,64,53,48,89,71,164,191,71,67,89,67,88,177,138,104
10,23,52,34,10,32,26,81,21,37,57,0,43,37,34,120,41,43,37,155,82,16,22,8,37,37,110,137,27,10,34,10,32,120,81,52
11,21,15,17,33,10,24,45,45,70,98,43,0,10,27,81,71,54,34,119,41,35,49,51,15,44,83,107,49,33,27,33,10,81,45,15
12,17,16,20,28,8,24,55,43,61,90,37,10,0,30,90,62,44,25,129,50,26,40,44,6,35,92,117,48,28,30,28,8,90,55,16
13,18,42,10,25,22,9,50,23,70,89,34,27,30,0,89,73,66,50,121,55,37,52,42,35,57,76,103,25,25,0,25,22,89,50,42
15,97,82,86,110,90,95,39,111,151,177,120,81,90,89,0,152,132,113,42,41,116,130,128,94,123,42,46,112,110,89,110,90,0,39,82
16,58,72,70,49,63,64,115,62,7,41,41,71,62,73,152,0,28,43,190,112,37,22,37,58,33,149,175,67,49,73,49,63,152,115,72
17,48,50,59,45,48,56,98,63,32,68,43,54,44,66,132,28,0,20,172,91,30,23,44,39,9,136,161,69,45,66,45,48,132,98,50
18,33,31,42,34,30,42,79,54,45,79,37,34,25,50,113,43,20,0,153,72,21,26,42,19,11,117,142,60,34,50,34,30,113,79,31
19,133,123,121,145,127,129,75,143,188,210,155,119,129,121,42,190,172,153,0,82,153,168,163,134,163,50,29,142,145,121,145,127,42,75,123
21,59,41,49,72,51,58,17,78,111,138,82,41,50,55,41,112,91,72,82,0,76,90,90,54,83,56,76,80,72,55,72,51,41,17,41
23,21,40,33,15,26,28,78,34,36,64,16,35,26,37,116,37,30,21,153,76,0,15,21,25,22,112,138,40,15,37,15,26,116,78,40
24,36,52,48,27,40,42,93,43,21,53,22,49,40,52,130,22,23,26,168,90,15,0,21,37,20,127,153,49,27,52,27,40,130,93,52
25,31,59,42,19,41,34,90,25,31,48,8,51,44,42,128,37,44,42,163,90,21,21,0,44,40,118,145,31,19,42,19,41,128,90,59
26,21,15,26,29,13,29,60,46,58,89,37,15,6,35,94,58,39,19,134,54,25,37,44,0,30,98,122,52,29,35,29,13,94,60,15
27,39,42,50,37,39,48,89,56,35,71,37,44,35,57,123,33,9,11,163,83,22,20,40,30,0,127,152,63,37,57,37,39,123,89,42
28,91,91,79,101,88,85,41,96,146,164,110,83,92,76,42,149,136,117,50,56,112,127,118,98,127,0,27,94,101,76,101,88,42,41,91
29,118,114,105,128,114,112,63,123,173,191,137,107,117,103,46,175,161,142,29,76,138,153,145,122,152,27,0,121,128,103,128,114,46,63,114
30,31,63,33,26,41,25,73,6,62,71,27,49,48,25,112,67,69,60,142,80,40,49,31,52,63,94,121,0,26,25,26,41,112,73,63
14,13,43,24,0,23,16,71,19,45,67,10,33,28,25,110,49,45,34,145,72,15,27,19,29,37,101,128,26,0,25,0,23,110,71,43
20,18,42,10,25,22,9,50,23,70,89,34,27,30,0,89,73,66,50,121,55,37,52,42,35,57,76,103,25,25,0,25,22,89,50,42
22,13,43,24,0,23,16,71,19,45,67,10,33,28,25,110,49,45,34,145,72,15,27,19,29,37,101,128,26,0,25,0,23,110,71,43
31,11,22,13,23,0,16,53,36,61,88,32,10,8,22,90,63,48,30,127,51,26,40,41,13,39,88,114,41,23,22,23,0,90,53,22
32,97,82,86,110,90,95,39,111,151,177,120,81,90,89,0,152,132,113,42,41,116,130,128,94,123,42,46,112,110,89,110,90,0,39,82
33,59,51,47,71,53,56,0,73,114,138,81,45,55,50,39,115,98,79,75,17,78,93,90,60,89,41,63,73,71,50,71,53,39,0,51
34,33,0,32,43,22,38,51,58,73,104,52,15,16,42,82,72,50,31,123,41,40,52,59,15,42,91,114,63,43,42,43,22,82,51,0
